path,class,rev,station,cam,season,day_part,date_time
rev11/20/20_20210817 (1593).JPG,empty,rev11,20,20,summer,morning,2021:08:17 11:37:02
rev07/49/49_20210508 (15913).JPG,empty,rev07,6B,49,spring,evening,2021:05:08 13:08:44
rev07/5/5_20210501 (2873).JPG,empty,rev07,29,5,spring,evening,2021:05:01 13:20:33
rev08/3/3_20210608 (942).JPG,empty,rev08,27,3,summer,evening,2021:06:08 13:22:42
rev05/9/9_20210309 (734).JPG,empty,rev05,9,9,spring,morning,2021:03:09 11:03:23
rev07/49/49_20210502 (12903).JPG,empty,rev07,6B,49,spring,evening,2021:05:02 16:38:34
rev11/25/25_20210816 (60).JPG,empty,rev11,25B,25,summer,evening,2021:08:16 12:46:41
rev20/11/11_20220711 (4650).JPG,empty,rev20,11,11,summer,evening,2022:07:11 13:56:17
rev08/48/48_20210528 (142).JPG,empty,rev08,43,48,spring,evening,2021:05:28 17:49:14
rev06/28/28_20210320 (5383).JPG,empty,rev06,28,28,spring,morning,2021:03:20 11:18:51
rev19/38/38_20220527 (548).JPG,empty,rev19,38,38,spring,evening,2022:05:27 12:25:09
rev11/2/2_20210818 (14819).JPG,empty,rev11,30,2,summer,evening,2021:08:18 12:12:13
rev09/36/36_20210622 (8914).JPG,empty,rev09,36,36,summer,morning,2021:06:22 11:32:57
rev09/49/49_20210629 (16975).JPG,empty,rev09,6B,49,summer,evening,2021:06:29 12:26:48
rev17/39/39_20220302 (664).JPG,empty,rev17,39B,39,spring,evening,2022:03:02 17:19:30
rev20/76/76_20220629 (2694).JPG,empty,rev20,64,76,summer,evening,2022:06:29 14:37:20
rev14/21/21_20211126 (1601).JPG,empty,rev14,21B,21,autumn,morning,2021:11:26 11:57:31
rev08/22/22_20210601 (8788).JPG,empty,rev08,22B,22,summer,morning,2021:06:01 11:01:36
rev09/49/49_20210627 (9573).JPG,empty,rev09,6B,49,summer,evening,2021:06:27 15:55:05
rev10/49/49_20210807 (19616).JPG,empty,rev10,6B,49,summer,evening,2021:08:07 16:42:24
rev08/45/45_20210531 (184).JPG,empty,rev08,12,45,spring,morning,2021:05:31 09:36:06
rev09/9/9_20210702 (2653).JPG,empty,rev09,9,9,summer,evening,2021:07:02 13:09:44
rev18/11/11_20220420 (1718).JPG,empty,rev18,11,11,spring,evening,2022:04:20 12:35:24
rev09/11/11_20210705 (6634).JPG,empty,rev09,11,11,summer,morning,2021:07:05 11:15:41
rev17/24/24_20220323 (3557).JPG,empty,rev17,24,24,spring,evening,2022:03:23 12:41:00
rev11/49/49_20210816 (6580).JPG,empty,rev11,6B,49,summer,evening,2021:08:16 15:20:47
rev07/24/24_20210430 (17420).JPG,empty,rev07,24,24,spring,evening,2021:04:30 14:59:26
rev16/20_16/20_20220126 (6).JPG,empty,rev16,20,20,winter,morning,2022:01:26 11:52:33
rev20/22/22_20220627 (3366).JPG,empty,rev20,22B,22,summer,evening,2022:06:27 15:16:09
rev01/24/24_20201101 (5748).JPG,empty,rev01,24,24,autumn,morning,2020:11:01 09:57:10
rev08/2/2_20210517 (18781).JPG,empty,rev08,30,2,spring,evening,2021:05:17 13:37:09
rev20/17/17_20220604 (18241).JPG,empty,rev20,17B,17,summer,evening,2022:06:04 14:05:48
rev13/38/38_20211104 (612).JPG,empty,rev13,38,38,autumn,evening,2021:11:04 15:53:02
rev20/50/50_20220708 (28585).JPG,empty,rev20,34,50,summer,morning,2022:07:08 11:28:45
rev08/22/22_20210526 (6315).JPG,empty,rev08,22B,22,spring,evening,2021:05:26 15:07:16
rev11/1/1_20210912 (4737).JPG,empty,rev11,23B,1,autumn,evening,2021:09:12 14:42:03
rev11/10/10_20210904 (18632).JPG,empty,rev11,10B,10,autumn,evening,2021:09:04 13:41:30
rev20/25/25_20220619 (612).JPG,empty,rev20,25B,25,summer,morning,2022:06:19 11:57:53
rev21/35/35_20220829 (1539).JPG,empty,rev21,35,35,summer,evening,2022:08:29 12:22:53
rev10/18/18_20210813 (1947).JPG,empty,rev10,18B,18,summer,morning,2021:08:13 08:56:58
rev21/51/51_20220903 (16543).JPG,empty,rev21,6B,51,autumn,morning,2022:09:03 11:18:01
rev11/24/24_20210825 (21171).JPG,empty,rev11,24,24,summer,evening,2021:08:25 14:08:19
rev07/49/49_20210511 (19727).JPG,empty,rev07,6B,49,spring,evening,2021:05:11 16:02:15
rev21/4/4_20220628 (22268).JPG,empty,rev21,26B,4,summer,evening,2022:06:28 14:58:54
rev10/2/2_20210713 (4649).JPG,empty,rev10,30,2,summer,evening,2021:07:13 13:17:25
rev08/11/11_20210519 (995).JPG,empty,rev08,11,11,spring,evening,2021:05:19 14:24:29
rev08/2/2_20210517 (16902).JPG,empty,rev08,30,2,spring,morning,2021:05:17 11:27:58
rev12/25/25_20210914 (84).JPG,empty,rev12,25B,25,autumn,morning,2021:09:14 11:55:38
rev11/49/49_20210816 (6010).JPG,empty,rev11,6B,49,summer,evening,2021:08:16 15:00:28
rev13/39/39_20211107 (5493).JPG,empty,rev13,39B,39,autumn,morning,2021:11:07 10:39:17
rev09/49/49_20210703 (22869).JPG,empty,rev09,6B,49,summer,morning,2021:07:03 11:41:39
rev19/25/25_20220605 (2465).JPG,empty,rev19,25B,25,summer,evening,2022:06:05 13:41:19
rev22/71/71_20220919 (229).JPG,empty,rev22,47,71,autumn,evening,2022:09:19 14:16:44
rev01/15/15_20201113 (32118).JPG,empty,rev01,15,15,autumn,morning,2020:11:13 11:57:19
rev20/76/76_20220701 (2806).JPG,empty,rev20,64,76,summer,morning,2022:07:01 09:46:31
rev21/11/11_20220907 (5757).JPG,empty,rev21,11,11,autumn,evening,2022:09:07 13:18:58
rev10/49/49_20210730 (10570).JPG,empty,rev10,6B,49,summer,evening,2021:07:30 13:38:28
rev19/39/39_20220606 (7678).JPG,empty,rev19,39B,39,summer,evening,2022:06:06 13:51:39
rev04/34/34_20210125 (4375).JPG,empty,rev04,34,34,winter,evening,2021:01:25 20:03:06
rev07/25/25_20210418 (446).JPG,empty,rev07,25B,25,spring,evening,2021:04:18 16:27:11
rev21/4/4_20220514 (9740).JPG,empty,rev21,26B,4,spring,evening,2022:05:14 15:00:19
rev20/47/47_20220704 (1747).JPG,empty,rev20,7B,47,summer,evening,2022:07:04 14:34:58
rev19/19/19_20220606 (6145).JPG,empty,rev19,19B,19,summer,evening,2022:06:06 13:25:17
rev06/24/24_20210323 (2000).JPG,empty,rev06,24,24,spring,evening,2021:03:23 14:04:03
rev21/39/39_20220821 (7258).JPG,empty,rev21,39B,39,summer,evening,2022:08:21 16:58:30
rev21/19/19_20220825 (4320).JPG,empty,rev21,19B,19,summer,evening,2022:08:25 12:03:00
rev12/32/32_20210915 (903).JPG,empty,rev12,32,32,autumn,evening,2021:09:15 15:08:28
rev08/24/24_20210521 (18716).JPG,empty,rev08,24,24,spring,morning,2021:05:21 11:40:06
rev21/51/51_20220816 (10227).JPG,empty,rev21,6B,51,summer,evening,2022:08:16 14:28:09
rev09/19/19_20210624 (1481).JPG,empty,rev09,19B,19,summer,evening,2021:06:24 14:37:23
rev20/71/71_20220719 (9440).JPG,empty,rev20,47,71,summer,morning,2022:07:19 11:30:44
rev09/49/49_20210628 (14149).JPG,empty,rev09,6B,49,summer,evening,2021:06:28 14:51:09
rev03/37/37_20201225 (2055).JPG,empty,rev03,37,37,winter,morning,2020:12:25 09:27:36
rev21/24/24_20220820 (4943).JPG,empty,rev21,24,24,summer,evening,2022:08:20 14:55:28
rev10/2/2_20210714 (10906).JPG,empty,rev10,30,2,summer,morning,2021:07:14 09:56:20
rev11/2/2_20210818 (16638).JPG,empty,rev11,30,2,summer,evening,2021:08:18 13:41:28
rev08/22/22_20210614 (20827).JPG,empty,rev08,22B,22,summer,evening,2021:06:14 14:50:32
rev24/55/55_20230314 (897).JPG,empty,rev24,51,55,spring,evening,2023:03:14 19:21:40
rev12/50/50_20210920 (2295).JPG,empty,rev12,34,50,autumn,morning,2021:09:20 11:49:22
rev17/25/25_20220329 (852).JPG,empty,rev17,25B,25,spring,evening,2022:03:29 13:24:05
rev20/60/60_20220621 (255).JPG,empty,rev20,65,60,summer,evening,2022:06:21 20:21:37
rev11/25/25_20210816 (249).JPG,empty,rev11,25B,25,summer,evening,2021:08:16 13:39:51
rev08/35/35_20210518 (294).JPG,empty,rev08,35,35,spring,evening,2021:05:18 12:27:50
rev24/10/10_20230124 (263).JPG,empty,rev24,10B,10,winter,night,2023:01:24 03:11:57
rev10/17/17_20210720 (5547).JPG,empty,rev10,17B,17,summer,morning,2021:07:20 11:57:37
rev10/49/49_20210805 (18039).JPG,empty,rev10,6B,49,summer,evening,2021:08:05 13:45:49
rev07/49/49_20210501 (9606).JPG,empty,rev07,6B,49,spring,evening,2021:05:01 16:48:57
rev11/20/20_20210817 (1909).JPG,empty,rev11,20,20,summer,evening,2021:08:17 12:04:55
rev08/41/41_20210614 (5711).JPG,empty,rev08,41B,41,summer,evening,2021:06:14 14:42:55
rev10/49/49_20210724 (4961).JPG,empty,rev10,6B,49,summer,evening,2021:07:24 13:29:00
rev09/49/49_20210629 (17370).JPG,empty,rev09,6B,49,summer,evening,2021:06:29 13:16:21
rev09/49/49_20210628 (12357).JPG,empty,rev09,6B,49,summer,evening,2021:06:28 13:24:51
rev10/11/11_20210811 (9944).JPG,empty,rev10,11,11,summer,night,2021:08:11 03:17:29
rev20/11/11_20220714 (4831).JPG,empty,rev20,11,11,summer,morning,2022:07:14 11:47:58
rev18/25/25_20220401 (42).JPG,empty,rev18,25B,25,spring,evening,2022:04:01 13:50:04
rev18/32/32_20220406 (2722).JPG,empty,rev18,32,32,spring,evening,2022:04:06 13:43:59
rev22/8/8_20221124 (131).JPG,empty,rev22,8,8,autumn,evening,2022:11:24 13:26:46
rev20/64/64_20220624 (639).JPG,empty,rev20,48,64,summer,morning,2022:06:24 10:12:26
rev10/11/11_20210726 (5119).JPG,empty,rev10,11,11,summer,evening,2021:07:26 15:06:28
rev08/20/20_20210526 (11918).JPG,empty,rev08,20,20,spring,morning,2021:05:26 11:49:54
rev21/36/36_20220805 (372).JPG,empty,rev21,36,36,summer,evening,2022:08:05 12:50:20
rev06/24/24_20210322 (1452).JPG,empty,rev06,24,24,spring,evening,2021:03:22 14:05:11
rev24/28/28_20230223 (2623).JPG,empty,rev24,28,28,winter,evening,2023:02:23 12:25:19
rev01/15/15_20201108 (15653).JPG,empty,rev01,15,15,autumn,morning,2020:11:08 11:30:18
rev14/1/1_20211202 (794).JPG,empty,rev14,23B,1,winter,evening,2021:12:02 12:23:03
rev09/49/49_20210704 (24680).JPG,empty,rev09,6B,49,summer,evening,2021:07:04 13:19:07
rev08/49/49_20210518 (3081).JPG,empty,rev08,6B,49,spring,evening,2021:05:18 13:40:14
rev07/50/50_20210428 (23074).JPG,empty,rev07,34,50,spring,evening,2021:04:28 13:35:32
rev20/11/11_20220715 (4991).JPG,empty,rev20,11,11,summer,evening,2022:07:15 12:41:13
rev18/20/20_20220401 (23).JPG,empty,rev18,20,20,spring,evening,2022:04:01 14:34:58
rev11/24/24_20210826 (22459).JPG,empty,rev11,24,24,summer,evening,2021:08:26 12:55:25
rev18/32/32_20220413 (4963).JPG,empty,rev18,32,32,spring,morning,2022:04:13 10:28:32
rev11/32/32_20210818 (15360).JPG,empty,rev11,32,32,summer,evening,2021:08:18 15:28:04
rev08/10/10_20210521 (653).JPG,empty,rev08,10B,10,spring,evening,2021:05:21 15:40:45
rev22/39/39_20220928 (1130).JPG,empty,rev22,39B,39,autumn,evening,2022:09:28 14:48:13
rev18/36/36_20220420 (803).JPG,empty,rev18,36,36,spring,evening,2022:04:20 14:48:17
rev06/25/25_20210320 (1710).JPG,empty,rev06,25B,25,spring,evening,2021:03:20 16:28:43
rev07/49/49_20210501 (8032).JPG,empty,rev07,6B,49,spring,evening,2021:05:01 13:53:27
rev12/20/20_20210919 (1021).JPG,empty,rev12,20,20,autumn,evening,2021:09:19 14:55:55
rev11/10/10_20210905 (28970).JPG,empty,rev11,10B,10,autumn,morning,2021:09:05 09:50:08
rev17/24/24_20220223 (772).JPG,empty,rev17,24,24,winter,evening,2022:02:23 13:35:47
rev04/7/7_20210211 (3795).JPG,empty,rev04,7,7,winter,night,2021:02:11 22:30:12
rev06/50/50_20210413 (22830).JPG,empty,rev06,34,50,spring,evening,2021:04:13 13:17:25
rev07/50/50_20210428 (20062).JPG,empty,rev07,34,50,spring,morning,2021:04:28 11:57:52
rev20/32/32_20220622 (14365).JPG,empty,rev20,32,32,summer,morning,2022:06:22 09:58:15
rev12/18/18_20210930 (1471).JPG,empty,rev12,18B,18,autumn,evening,2021:09:30 14:28:04
rev21/20/20_20220808 (2508).JPG,empty,rev21,20,20,summer,evening,2022:08:08 13:51:19
rev19/24/24_20220609 (5059).JPG,empty,rev19,24,24,summer,evening,2022:06:09 12:06:21
rev20/35/35_20220627 (759).JPG,empty,rev20,35,35,summer,evening,2022:06:27 14:23:51
rev22/51/51_20220921 (458).JPG,empty,rev22,6B,51,autumn,evening,2022:09:21 12:04:56
rev08/41/41_20210612 (5246).JPG,empty,rev08,41B,41,summer,evening,2021:06:12 13:03:27
rev12/24/24_20211001 (11186).JPG,empty,rev12,24,24,autumn,morning,2021:10:01 11:51:52
rev18/49/49_20220429 (2791).JPG,empty,rev18,6B,49,spring,evening,2022:04:29 14:06:41
rev09/39/39_20210626 (8693).JPG,empty,rev09,39B,39,summer,evening,2021:06:26 15:53:04
rev19/19/19_20220524 (2429).JPG,empty,rev19,19B,19,spring,morning,2022:05:24 11:33:32
rev21/22/22_20220722 (195).JPG,empty,rev21,22B,22,summer,morning,2022:07:22 11:58:29
rev19/24/24_20220602 (3363).JPG,empty,rev19,24,24,summer,evening,2022:06:02 15:08:58
rev07/28/28_20210420 (441).JPG,empty,rev07,28,28,spring,evening,2021:04:20 14:25:53
rev21/3/3_20220903 (2611).JPG,empty,rev21,27,3,autumn,evening,2022:09:03 12:14:34
rev01/15/15_20201113 (31873).JPG,empty,rev01,15,15,autumn,morning,2020:11:13 11:14:09
rev11/1/1_20210903 (3340).JPG,empty,rev11,23B,1,autumn,evening,2021:09:03 13:10:40
rev20/20/20_20220706 (7000).JPG,empty,rev20,20,20,summer,evening,2022:07:06 13:28:33
rev12/50/50_20210915 (62).JPG,empty,rev12,34,50,autumn,morning,2021:09:15 11:23:51
rev19/2/2_20220521 (1013).JPG,empty,rev19,30,2,spring,morning,2022:05:21 10:18:43
rev08/49/49_20210525 (20996).JPG,empty,rev08,6B,49,spring,evening,2021:05:25 14:53:32
rev06/28/28_20210320 (12837).JPG,empty,rev06,28,28,spring,evening,2021:03:20 16:31:03
rev10/32/32_20210715 (14841).JPG,empty,rev10,32,32,summer,morning,2021:07:15 09:58:16
rev05/20/20_20210319 (3703).JPG,empty,rev05,20,20,spring,evening,2021:03:19 12:51:38
rev18/5/5_20220410 (620).JPG,empty,rev18,29,5,spring,evening,2022:04:10 12:08:05
rev02/37/37_20201121 (6125).JPG,empty,rev02,37,37,autumn,evening,2020:11:21 18:19:49
rev22/39/39_20221115 (2390).JPG,empty,rev22,39B,39,autumn,evening,2022:11:15 13:10:11
rev05/5/5_20210310 (1395).JPG,empty,rev05,29,5,spring,evening,2021:03:10 14:40:43
rev07/49/49_20210502 (11434).JPG,empty,rev07,6B,49,spring,evening,2021:05:02 14:25:05
rev21/1/1_20220723 (219).JPG,empty,rev21,23B,1,summer,morning,2022:07:23 11:14:12
rev11/10/10_20210904 (14041).JPG,empty,rev11,10B,10,autumn,morning,2021:09:04 11:55:01
rev19/35/35_20220612 (2626).JPG,empty,rev19,35,35,summer,evening,2022:06:12 20:59:54
rev21/3/3_20220903 (2665).JPG,empty,rev21,27,3,autumn,evening,2022:09:03 13:32:14
rev02/14/14_20201203 (546).JPG,empty,rev02,14,14,winter,evening,2020:12:03 15:18:03
rev09/36/36_20210619 (5201).JPG,empty,rev09,36,36,summer,evening,2021:06:19 14:18:03
rev21/66/66_20220722 (6).JPG,empty,rev21,49,66,summer,morning,2022:07:22 11:18:36
rev11/10/10_20210904 (16119).JPG,empty,rev11,10B,10,autumn,evening,2021:09:04 12:39:48
rev23/33/33_20221213 (176).JPG,empty,rev23,33,33,winter,morning,2022:12:13 09:20:40
rev20/10/10_20220716 (9262).JPG,empty,rev20,10B,10,summer,morning,2022:07:16 11:45:07
rev10/25/25_20210731 (11963).JPG,empty,rev10,25B,25,summer,evening,2021:07:31 12:47:36
rev10/49/49_20210731 (15354).JPG,empty,rev10,6B,49,summer,evening,2021:07:31 14:11:05
rev01/24/24_20201102 (6373).JPG,empty,rev01,24,24,autumn,morning,2020:11:02 10:33:00
